"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 19:22:59 GMT 2023","Fri May 05 19:23:01 GMT 2023","1376","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"broken","Fri May 05 19:23:44 GMT 2023","Fri May 05 19:24:16 GMT 2023","32160","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Fri May 05 19:22:54 GMT 2023","Fri May 05 19:22:56 GMT 2023","1656","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"broken","Fri May 05 19:23:39 GMT 2023","Fri May 05 19:24:11 GMT 2023","31679","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Fri May 05 19:24:14 GMT 2023","Fri May 05 19:24:16 GMT 2023","2317","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 19:22:54 GMT 2023","Fri May 05 19:22:56 GMT 2023","1946","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Fri May 05 19:24:19 GMT 2023","Fri May 05 19:24:21 GMT 2023","2291","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 19:24:29 GMT 2023","Fri May 05 19:24:31 GMT 2023","1995","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 19:23:00 GMT 2023","Fri May 05 19:23:02 GMT 2023","1384","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Fri May 05 19:24:21 GMT 2023","Fri May 05 19:24:24 GMT 2023","2381","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
