"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 13:53:47 GMT 2023","Fri May 05 13:53:49 GMT 2023","1517","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 13:53:51 GMT 2023","Fri May 05 13:53:53 GMT 2023","1504","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 13:51:52 GMT 2023","Fri May 05 13:51:54 GMT 2023","1228","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Fri May 05 13:51:56 GMT 2023","Fri May 05 13:51:57 GMT 2023","877","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"broken","Fri May 05 13:53:13 GMT 2023","Fri May 05 13:53:45 GMT 2023","31441","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
