"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 19:30:20 GMT 2023","Fri May 05 19:30:22 GMT 2023","1798","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Fri May 05 19:29:22 GMT 2023","Fri May 05 19:29:54 GMT 2023","32137","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Fri May 05 19:29:58 GMT 2023","Fri May 05 19:30:00 GMT 2023","2205","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 19:30:13 GMT 2023","Fri May 05 19:30:15 GMT 2023","2002","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 19:28:38 GMT 2023","Fri May 05 19:28:40 GMT 2023","1849","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"broken","Fri May 05 19:29:36 GMT 2023","Fri May 05 19:30:08 GMT 2023","31941","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Fri May 05 19:28:46 GMT 2023","Fri May 05 19:28:48 GMT 2023","1494","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Fri May 05 19:30:03 GMT 2023","Fri May 05 19:30:06 GMT 2023","2207","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 19:28:43 GMT 2023","Fri May 05 19:28:44 GMT 2023","1284","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Fri May 05 19:28:52 GMT 2023","Fri May 05 19:28:54 GMT 2023","1375","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
