"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 14:38:08 GMT 2023","Fri May 05 14:38:09 GMT 2023","1665","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Fri May 05 14:37:28 GMT 2023","Fri May 05 14:37:59 GMT 2023","31225","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Fri May 05 14:38:03 GMT 2023","Fri May 05 14:38:04 GMT 2023","1634","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 14:36:10 GMT 2023","Fri May 05 14:36:12 GMT 2023","1224","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Fri May 05 14:36:15 GMT 2023","Fri May 05 14:36:16 GMT 2023","985","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
