"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 06 19:13:44 GMT 2023","Sat May 06 19:13:47 GMT 2023","2626","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Sat May 06 19:13:02 GMT 2023","Sat May 06 19:13:34 GMT 2023","32236","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Sat May 06 19:13:39 GMT 2023","Sat May 06 19:13:41 GMT 2023","2410","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sat May 06 19:13:51 GMT 2023","Sat May 06 19:13:53 GMT 2023","1957","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sat May 06 19:13:42 GMT 2023","Sat May 06 19:13:44 GMT 2023","2182","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sat May 06 19:12:19 GMT 2023","Sat May 06 19:12:20 GMT 2023","1362","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Sat May 06 19:12:10 GMT 2023","Sat May 06 19:12:12 GMT 2023","1783","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"broken","Sat May 06 19:13:04 GMT 2023","Sat May 06 19:13:36 GMT 2023","32307","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Sat May 06 19:12:22 GMT 2023","Sat May 06 19:12:23 GMT 2023","1374","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Sat May 06 19:12:16 GMT 2023","Sat May 06 19:12:18 GMT 2023","2043","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
