"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 05 13:30:19 GMT 2023","Fri May 05 13:30:21 GMT 2023","1596","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Fri May 05 13:29:07 GMT 2023","Fri May 05 13:29:38 GMT 2023","30860","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"broken","Fri May 05 13:30:34 GMT 2023","Fri May 05 13:31:04 GMT 2023","30361","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Fri May 05 13:27:54 GMT 2023","Fri May 05 13:27:55 GMT 2023","650","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"broken","Fri May 05 13:27:06 GMT 2023","Fri May 05 13:27:07 GMT 2023","1236","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
