"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 07 20:17:03 GMT 2023","Sun May 07 20:17:35 GMT 2023","31892","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Sun May 07 20:16:39 GMT 2023","Sun May 07 20:16:41 GMT 2023","1406","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Sun May 07 20:16:25 GMT 2023","Sun May 07 20:16:26 GMT 2023","1258","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Sun May 07 20:16:20 GMT 2023","Sun May 07 20:16:22 GMT 2023","1814","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"broken","Sun May 07 20:17:23 GMT 2023","Sun May 07 20:17:55 GMT 2023","32273","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Sun May 07 20:18:00 GMT 2023","Sun May 07 20:18:02 GMT 2023","2054","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sun May 07 20:18:07 GMT 2023","Sun May 07 20:18:09 GMT 2023","1826","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sun May 07 20:16:33 GMT 2023","Sun May 07 20:16:35 GMT 2023","1911","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Sun May 07 20:17:37 GMT 2023","Sun May 07 20:17:39 GMT 2023","2178","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sun May 07 20:17:41 GMT 2023","Sun May 07 20:17:44 GMT 2023","2152","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
