"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 06 19:18:01 GMT 2023","Sat May 06 19:18:03 GMT 2023","2148","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sat May 06 19:16:57 GMT 2023","Sat May 06 19:16:59 GMT 2023","2034","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Sat May 06 19:17:05 GMT 2023","Sat May 06 19:17:06 GMT 2023","1427","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Sat May 06 19:18:32 GMT 2023","Sat May 06 19:18:34 GMT 2023","2325","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Sat May 06 19:17:48 GMT 2023","Sat May 06 19:18:20 GMT 2023","32053","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Sat May 06 19:16:45 GMT 2023","Sat May 06 19:16:47 GMT 2023","1734","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Sat May 06 19:18:25 GMT 2023","Sat May 06 19:18:27 GMT 2023","1802","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Sat May 06 19:17:27 GMT 2023","Sat May 06 19:17:59 GMT 2023","31391","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Sat May 06 19:18:05 GMT 2023","Sat May 06 19:18:07 GMT 2023","2143","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sat May 06 19:16:49 GMT 2023","Sat May 06 19:16:50 GMT 2023","1245","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
