"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 05 13:08:47 GMT 2023","Fri May 05 13:08:47 GMT 2023","790","tests","test_login","TestLogin","","","User is able to login","User is able to login"
"passed","Fri May 05 13:09:24 GMT 2023","Fri May 05 13:09:25 GMT 2023","1485","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Fri May 05 13:08:50 GMT 2023","Fri May 05 13:09:21 GMT 2023","30479","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Fri May 05 13:08:09 GMT 2023","Fri May 05 13:08:09 GMT 2023","0","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"broken","Fri May 05 13:07:26 GMT 2023","Fri May 05 13:07:26 GMT 2023","0","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
