"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 05 13:30:00 GMT 2023","Fri May 05 13:30:31 GMT 2023","30976","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Fri May 05 13:28:37 GMT 2023","Fri May 05 13:28:38 GMT 2023","1063","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Fri May 05 13:30:34 GMT 2023","Fri May 05 13:30:35 GMT 2023","1181","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 13:28:41 GMT 2023","Fri May 05 13:28:42 GMT 2023","952","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Fri May 05 13:30:38 GMT 2023","Fri May 05 13:30:39 GMT 2023","1144","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
