"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 20:13:41 GMT 2023","Sun May 07 20:13:43 GMT 2023","2380","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sun May 07 20:12:07 GMT 2023","Sun May 07 20:12:09 GMT 2023","1898","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Sun May 07 20:13:07 GMT 2023","Sun May 07 20:13:09 GMT 2023","2237","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sun May 07 20:11:48 GMT 2023","Sun May 07 20:11:49 GMT 2023","1837","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"broken","Sun May 07 20:12:32 GMT 2023","Sun May 07 20:13:04 GMT 2023","32087","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Sun May 07 20:11:52 GMT 2023","Sun May 07 20:11:54 GMT 2023","1306","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Sun May 07 20:11:58 GMT 2023","Sun May 07 20:12:00 GMT 2023","1971","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Sun May 07 20:13:12 GMT 2023","Sun May 07 20:13:14 GMT 2023","2277","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sun May 07 20:13:32 GMT 2023","Sun May 07 20:13:34 GMT 2023","2494","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Sun May 07 20:12:54 GMT 2023","Sun May 07 20:13:25 GMT 2023","31670","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
