"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 06 19:01:35 GMT 2023","Sat May 06 19:01:35 GMT 2023","0","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"broken","Sat May 06 19:01:36 GMT 2023","Sat May 06 19:01:36 GMT 2023","0","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Sat May 06 19:01:40 GMT 2023","Sat May 06 19:01:40 GMT 2023","0","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"broken","Sat May 06 19:01:44 GMT 2023","Sat May 06 19:01:44 GMT 2023","0","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Sat May 06 19:01:41 GMT 2023","Sat May 06 19:01:41 GMT 2023","0","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"broken","Sat May 06 19:01:42 GMT 2023","Sat May 06 19:01:42 GMT 2023","0","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"broken","Sat May 06 19:01:33 GMT 2023","Sat May 06 19:01:33 GMT 2023","0","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"broken","Sat May 06 19:01:34 GMT 2023","Sat May 06 19:01:34 GMT 2023","0","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"broken","Sat May 06 19:01:45 GMT 2023","Sat May 06 19:01:45 GMT 2023","0","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Sat May 06 19:01:37 GMT 2023","Sat May 06 19:01:37 GMT 2023","0","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
