"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 19:22:02 GMT 2023","Fri May 05 19:22:04 GMT 2023","1864","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Fri May 05 19:23:21 GMT 2023","Fri May 05 19:23:24 GMT 2023","2270","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 19:22:06 GMT 2023","Fri May 05 19:22:08 GMT 2023","1346","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"broken","Fri May 05 19:23:09 GMT 2023","Fri May 05 19:23:40 GMT 2023","31529","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Fri May 05 19:23:54 GMT 2023","Fri May 05 19:23:57 GMT 2023","2524","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Fri May 05 19:22:46 GMT 2023","Fri May 05 19:23:17 GMT 2023","31435","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Fri May 05 19:22:17 GMT 2023","Fri May 05 19:22:19 GMT 2023","1991","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Fri May 05 19:22:25 GMT 2023","Fri May 05 19:22:26 GMT 2023","1496","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Fri May 05 19:23:27 GMT 2023","Fri May 05 19:23:29 GMT 2023","2337","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 19:23:46 GMT 2023","Fri May 05 19:23:49 GMT 2023","2076","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
